u,g,r,i,z,target
20.3020000458,18.3540000916,17.4780006409,17.1800003052,16.9759998322,star
20.4780006409,18.0170001984,17.0839996338,16.7450008392,16.5729999542,star
18.1280002594,17.0909996033,16.8400001526,16.716999054,16.6979999542,star
19.920999527,18.438999176,17.8910007477,17.686000824,17.5769996643,star
16.75,15.7969999313,15.5200004578,15.3920001984,15.3579998016,star
19.3969993591,18.2950000763,17.7240009308,17.4580001831,17.313999176,star
20.2530002594,19.375,19.1369991302,19.013999939,18.9780006409,star
19.466999054,18.4039993286,17.8519992828,17.6790008545,17.5820007324,star
17.7369995117,16.7800006866,16.486000061,16.388999939,16.3910007477,star
19.4050006866,18.3369998932,17.9729995728,17.827999115,17.8020000458,star
20.688999176,18.9239997864,18.216999054,17.9430007935,17.8349990845,star
19.9330005646,17.9340000153,17.107000351,16.9400005341,16.6669998169,star
16.8460006714,15.2670001984,14.6450004578,14.4849996567,14.3900003433,star
18.4430007935,17.4890003204,17.357000351,17.3649997711,17.4060001373,star
17.1609992981,16.1119995117,15.6300001144,15.4499998093,15.2989997864,star
20.3959999084,19.486000061,18.9780006409,18.8309993744,18.6609992981,star
18.7369995117,17.2619991302,16.6900005341,16.5,16.3880004883,star
16.3309993744,15.1309995651,14.8159999847,14.704000473,14.6870002747,star
16.8649997711,15.8959999084,15.5039997101,15.3380002975,15.248000145,star
17.9519996643,16.6079998016,15.9250001907,15.704000473,15.5480003357,star
18.0520000458,16.9990005493,16.6229991913,16.4449996948,16.452999115,star
18.9720001221,18.0949993134,17.8159999847,17.718000412,17.6909999847,star
17.6730003357,15.9379997253,15.2609996796,15.015999794,14.8959999084,star
18.6590003967,17.6240005493,17.2619991302,17.1329994202,17.0620002747,star
21.2229995728,19.4829998016,18.7889995575,18.4950008392,18.3180007935,star
19.8899993896,18.545999527,17.8899993896,17.5799999237,17.4419994354,star
21.4909992218,19.1410007477,18.1310005188,17.7929992676,17.6030006409,star
19.875,18.7789993286,18.3470001221,18.1450004578,18.0510005951,star
20.0820007324,18.6529998779,17.966999054,17.6739997864,17.4699993134,star
20.6079998016,19.3659992218,18.8509998322,18.6089992523,18.4479999542,star
18.9379997253,17.4459991455,16.75,16.438999176,16.1879997253,star
21.6739997864,19.9309997559,18.9270000458,18.4589996338,18.2549991608,star
19.0970001221,17.4699993134,16.5809993744,16.1229991913,15.8420000076,star
18.6060009003,17.6490001678,17.2940006256,17.142999649,17.0669994354,star
22.5189990997,20.3360004425,19.3479995728,18.9839992523,18.7709999084,star
20.6739997864,19.1870002747,18.4990005493,18.218000412,18.0729999542,star
18.8239994049,17.9470005035,17.3630008698,17.2630004883,17.236000061,star
17.0580005646,15.7670001984,15.2469997406,15.0690002441,14.998000145,star
18.6560001373,17.468000412,17.0109996796,16.8159999847,16.7329998016,star
19.7910003662,18.2299995422,17.6049995422,17.3649997711,17.2660007477,star
20.513999939,18.4710006714,17.236000061,16.6149997711,16.2549991608,star
19.8320007324,17.3470001221,16.0960006714,15.5030002594,15.0900001526,star
18.8369998932,17.2789993286,16.7450008392,16.561000824,16.4829998016,star
18.6679992676,17.392999649,16.8630008698,16.7010002136,16.6189994812,star
19.7999992371,17.452999115,16.4190006256,16.0760002136,15.859000206,star
20.4400005341,18.9699993134,18.2399997711,17.9139995575,17.7189998627,star
18.767999649,17.6830005646,17.4319992065,17.3490009308,17.3519992828,star
19.9139995575,18.9960002899,18.5760002136,18.4400005341,18.3780002594,star
19.1529998779,18.1030006409,17.6550006866,17.4890003204,17.392999649,star
19.3530006409,18.4650001526,18.1450004578,17.9979991913,17.9640007019,star
21.1159992218,19.3950004578,18.5799999237,18.2439994812,18.0219993591,star
19.5709991455,17.8969993591,17.1319999695,16.7700004578,16.5849990845,star
19.8239994049,18.6189994812,18.0990009308,17.8950004578,17.781999588,star
20.9880008698,19.8680000305,19.3789997101,19.1840000153,19.0699996948,star
20.1119995117,18.8299999237,18.3099994659,18.0739994049,17.968000412,star
18.1550006866,16.8050003052,16.283000946,16.0809993744,16.158000946,star
16.7719993591,15.6140003204,15.3170003891,15.251999855,15.2449998856,star
19.6970005035,18.6490001678,18.2070007324,18.0349998474,17.9780006409,star
18.5230007172,16.4379997253,15.6370000839,15.3950004578,15.2790002823,star
17.341999054,16.1760005951,15.984000206,15.8970003128,15.9079999924,star
20.2350006104,18.857000351,18.2399997711,17.9880008698,17.9330005646,star
20.388999939,19.3729991913,18.954000473,18.7569999695,18.7430000305,star
17.2290000916,16.2929992676,15.861000061,15.7309999466,15.7010002136,star
20.0709991455,18.7800006866,18.2369995117,18.0629997253,17.9729995728,star
17.7380008698,16.6380004883,16.3080005646,16.1840000153,16.1779994965,star
20.1930007935,18.6979999542,18.1000003815,17.9169998169,17.7539997101,star
19.9160003662,18.4850006104,17.8229999542,17.5559997559,17.4340000153,star
19.2280006409,18.2119998932,17.7779998779,17.6240005493,17.5400009155,star
19.7129993439,18.3059997559,17.670999527,17.4419994354,17.3299999237,star
19.3789997101,18.1690006256,17.5799999237,17.3659992218,17.2740001678,star
20.5,18.2880001068,17.3850002289,17.0729999542,16.8600006104,star
19.6660003662,18.4689998627,17.9750003815,17.8560009003,17.7579994202,star
20.0540008545,18.7019996643,18.1529998779,17.9729995728,17.8519992828,star
18.1289997101,17.2019996643,16.8819999695,16.7859992981,16.7569999695,star
18.7770004272,17.3819999695,16.8120002747,16.6019992828,16.513999939,star
20.357000351,18.5699996948,17.8169994354,17.4729995728,17.2430000305,star
18.482000351,17.3069992065,16.8229999542,16.7199993134,16.6539993286,star
17.6599998474,16.3390007019,15.8360004425,15.6339998245,15.5839996338,star
19.5760002136,18.6490001678,18.2220001221,18.0540008545,18.0289993286,star
19.8999996185,18.486000061,17.841999054,17.6170005798,17.4710006714,star
19.3789997101,17.8269996643,17.1870002747,16.966999054,16.7989997864,star
18.7800006866,16.8670005798,15.9530000687,15.5909996033,15.4320001602,star
19.138999939,17.0979995728,16.2390003204,15.9630002975,15.8050003052,star
18.0100002289,16.4309997559,16.0130004883,15.8780002594,15.8210000992,star
17.5550003052,16.5049991608,16.3850002289,16.3619995117,16.4120006561,star
19.5060005188,18.3589992523,17.8260002136,17.5849990845,17.533000946,star
19.9799995422,19.1350002289,18.6630001068,18.4810009003,18.420999527,star
18.327999115,17.3509998322,16.9890003204,16.8460006714,16.8020000458,star
20.2919998169,19.3099994659,18.938999176,18.8190002441,18.7490005493,star
19.172000885,18.2269992828,17.9440002441,17.8530006409,17.8269996643,star
19.6779994965,18.2840003967,17.7140007019,17.4780006409,17.3780002594,star
20.5569992065,19.625,19.186000824,19.0489997864,19.0650005341,star
18.9050006866,16.7420005798,15.8149995804,15.5380001068,15.376999855,star
19.7889995575,18.5739994049,18.0620002747,17.8950004578,17.7989997864,star
18.3360004425,16.8379993439,16.2700004578,16.0300006866,15.9270000458,star
19.4279994965,18.5230007172,18.2919998169,18.1280002594,18.1140003204,star
19.8799991608,18.7329998016,18.716999054,18.7630004883,18.8180007935,star
18.7290000916,17.0620002747,16.829000473,16.5249996185,16.4659996033,star
19.5300006866,18.3680000305,17.9279994965,17.7479991913,17.7049999237,star
17.6350002289,16.3619995117,15.8400001526,15.6490001678,15.5819997787,star
18.8150005341,17.7010002136,17.2049999237,17.0419998169,16.9740009308,star
20.313999176,19.2450008392,18.7229995728,18.5410003662,18.4489994049,star
17.6639995575,16.7700004578,16.5069999695,16.4120006561,16.4449996948,star
18.5,17.4470005035,17.013999939,16.8710002899,16.8729991913,star
17.4990005493,17.0960006714,17.0769996643,17.1350002289,17.2840003967,star
18.3880004883,17.2840003967,16.892999649,16.7590007782,16.7430000305,star
19.063999176,17.966999054,17.4689998627,17.3050003052,17.2549991608,star
19.5659999847,18.343000412,17.7129993439,17.5079994202,17.3999996185,star
18.0970001221,17.1550006866,16.8829994202,16.7740001678,16.811000824,star
19.2290000916,18.0450000763,17.5879993439,17.420999527,17.3840007782,star
20.3819999695,18.1560001373,17.1660003662,16.8050003052,16.5580005646,star
19.6040000916,18.7399997711,18.3540000916,18.2350006104,18.2099990845,star
17.4549999237,16.5440006256,16.3120002747,16.2210006714,16.2240009308,star
20.5429992676,18.3689994812,17.4249992371,17.0809993744,16.9039993286,star
20.4090003967,19.4699993134,19.0569992065,18.9009990692,18.8250007629,star
17.9939994812,16.8670005798,16.5540008545,16.4769992828,16.4580001831,star
20.218000412,18.9519996643,18.4370002747,18.2630004883,18.1599998474,star
18.4570007324,17.6060009003,17.2810001373,17.1490001678,17.1280002594,star
18.6310005188,17.4029998779,16.857000351,16.6210002899,16.5090007782,star
18.5289993286,17.4479999542,17.0709991455,16.9370002747,16.8950004578,star
18.2220001221,17.0380001068,16.5130004883,16.3050003052,16.1970005035,star
19.6480007172,18.5279998779,18.5489997864,18.6469993591,18.7670001984,star
20.158000946,19.2469997406,18.8169994354,18.6609992981,18.6229991913,star
17.4720001221,16.6359996796,16.2509994507,16.093000412,16.0109996796,star
16.3449993134,14.751999855,14.1239995956,13.9549999237,13.8870000839,star
21.4400005341,19.857000351,19.2380008698,18.936000824,18.8050003052,star
21.0400009155,18.861000061,17.7259998322,17.2880001068,16.9930000305,star
19.8250007629,18.4200000763,17.8780002594,17.7250003815,17.6079998016,star
18.5809993744,17.0380001068,16.4099998474,16.1770000458,16.0979995728,star
17.3190002441,15.75,15.0670003891,14.7860002518,14.6339998245,star
19.1100006104,17.7280006409,17.1079998016,16.8710002899,16.7380008698,star
20.2600002289,18.8640003204,18.3029994965,18.1350002289,18.0419998169,star
19.9500007629,18.4090003967,17.8090000153,17.6019992828,17.5100002289,star
20.2609996796,18.8869991302,18.3229999542,18.1030006409,17.954000473,star
18.5359992981,17.2719993591,16.7070007324,16.5,16.3840007782,star
18.4909992218,16.7439994812,16.0830001831,15.8599996567,15.7589998245,star
20.0270004272,19.0939998627,18.7730007172,18.670999527,18.6229991913,star
21.6060009003,19.4249992371,18.4340000153,18.0750007629,17.813999176,star
18.422000885,16.8840007782,16.281999588,16.1100006104,16.0259990692,star
20.0729999542,18.6319999695,18.0049991608,17.920999527,17.922000885,star
20.3059997559,18.952999115,18.0820007324,17.9120006561,17.7059993744,star
18.1040000916,16.9689998627,16.9799995422,17.0240001678,17.093000412,star
20.5629997253,18.9020004272,18.1480007172,17.9150009155,17.7010002136,star
19.9440002441,18.3159999847,17.5970001221,17.327999115,17.172000885,star
19.9960002899,19.0410003662,18.6329994202,18.5009994507,18.3819999695,star
19.3519992828,18.0419998169,17.5130004883,17.281999588,17.218000412,star
19.0289993286,17.9029998779,17.4500007629,17.3840007782,17.3120002747,star
19.7840003967,18.6809997559,18.2150001526,17.968000412,17.8969993591,star
18.5979995728,16.9370002747,16.3150005341,16.0809993744,15.9750003815,star
20.2789993286,19.2600002289,18.7460002899,18.5349998474,18.468000412,star
18.8740005493,17.9769992828,17.6700000763,17.5650005341,17.5130004883,star
20.7420005798,18.7000007629,17.7940006256,17.4909992218,17.2810001373,star
19.2689990997,17.7940006256,17.1259994507,16.9099998474,16.7789993286,star
19.2380008698,17.0349998474,16.2129993439,15.888999939,15.7589998245,star
17.2070007324,15.6630001068,14.892999649,14.6140003204,14.5109996796,star
16.327999115,15.3059997559,14.9729995728,14.8549995422,14.8819999695,star
19.8029994965,18.9650001526,18.6259994507,18.5389995575,18.4699993134,star
19.577999115,18.5569992065,18.2670001984,18.1630001068,18.1499996185,star
20.0200004578,18.3260002136,17.7070007324,17.4109992981,17.357000351,star
20.5830001831,18.8129997253,18.1730003357,17.8780002594,17.7010002136,star
21.7259998322,19.9479999542,19.111000061,18.7859992981,18.561000824,star
19.7770004272,17.8199996948,17.1439990997,16.9409999847,16.7810001373,star
18.8159999847,17.4930000305,16.9519996643,16.7380008698,16.6679992676,star
19.8029994965,18.6119995117,18.1229991913,17.906999588,17.8029994965,star
20.9300003052,19.4710006714,18.8269996643,18.5769996643,18.4510002136,star
19.047000885,16.7740001678,16.4459991455,16.3180007935,16.2880001068,star
18.8799991608,18.5580005646,17.7420005798,17.2000007629,16.8129997253,star
18.7539997101,16.9479999542,16.2849998474,16.0419998169,15.954000473,star
17.0990009308,15.9870004654,15.5279998779,15.3540000916,15.2829999924,star
18.4130001068,17,16.406999588,16.1410007477,15.9619998932,star
19.1000003815,17.0289993286,16.6329994202,15.920999527,15.6940002441,star
19.297000885,18.3339996338,18.0219993591,17.9039993286,17.9009990692,star
18.3850002289,16.2849998474,15.4180002213,15.093000412,14.9169998169,star
19.732000351,18.9829998016,18.6970005035,18.611000061,18.5769996643,star
17.1439990997,15.9549999237,15.3199996948,15.1260004044,15.0260000229,star
19.5820007324,18.5540008545,18.1219997406,17.9580001831,17.936000824,star
18.5090007782,16.4039993286,15.609000206,15.3229999542,15.0889997482,star
19.8759994507,18.829000473,18.4409999847,18.2779998779,18.1399993896,star
21.1819992065,19.3980007172,18.5349998474,18.1319999695,17.8680000305,star
19.3990001678,18.0569992065,17.4039993286,17.1469993591,16.9300003052,star
19.3729991913,18.545999527,18.2240009308,18.1630001068,18.125,star
18.6509990692,17.0839996338,16.3479995728,16.0799999237,15.9239997864,star
19.3330001831,17.5240001678,16.7569999695,16.4319992065,16.2740001678,star
20.8540000916,19.6550006866,19.1200008392,18.9249992371,18.8670005798,star
20.1560001373,19.2189998627,18.8959999084,18.7950000763,18.7619991302,star
19.5259990692,18.7390003204,18.5419998169,18.4239997864,18.531999588,star
18.5389995575,17.4810009003,17.3880004883,17.4260005951,17.4379997253,star
19.2110004425,18.2759990692,17.8910007477,17.8530006409,17.7409992218,star
20.517999649,19.4479999542,18.9570007324,18.7579994202,18.6849994659,star
20.111000061,19.1149997711,18.75,18.6509990692,18.5830001831,star
17.545999527,16.6819992065,16.4319992065,16.3549995422,16.3490009308,star
16.4239997864,15.2449998856,15.0059995651,14.9379997253,14.9250001907,star
19.5659999847,18.7549991608,18.4599990845,18.3390007019,18.3339996338,star
17.7290000916,16.3950004578,15.8800001144,15.6759996414,15.5850000381,star
18.341999054,17.3020000458,16.938999176,16.7989997864,16.7609996796,star
19.1770000458,17.7660007477,17.1270008087,16.8509998322,16.736000061,star
20.2329998016,17.8719997406,16.8090000153,16.4470005035,16.2579994202,star
19.2889995575,18.8020000458,18.6819992065,18.658000946,18.7299995422,star
19.6219997406,17.5860004425,16.7110004425,16.4139995575,16.2609996796,star
18.8220005035,17.6959991455,17.2430000305,17.0400009155,16.9930000305,star
16.8859996796,15.3959999084,14.8819999695,14.7259998322,14.6560001373,star
19.8880004883,19.0410003662,18.7000007629,18.5659999847,18.5370006561,star
18.9270000458,17.7350006104,17.4939994812,17.2530002594,17.2129993439,star
20.2240009308,18.5219993591,17.7450008392,17.422000885,17.2430000305,star
19.7670001984,18.5680007935,18.0279998779,17.8859996796,17.7290000916,star
20.1830005646,19.3799991608,19.0079994202,18.8920001984,18.8309993744,star
16.6779994965,15.1850004196,14.6280002594,14.4519996643,14.3439998627,star
17.3899993896,16.3959999084,16.0729999542,15.9689998627,15.9779996872,star
17.2099990845,16.3339996338,15.9650001526,15.7700004578,15.748000145,star
19.3299999237,18.3260002136,17.9060001373,17.6979999542,17.670999527,star
19.9270000458,19,18.7019996643,18.5699996948,18.5270004272,star
17.5879993439,16.6439990997,16.2059993744,16.0380001068,15.982000351,star
15.7810001373,15.5,15.5740003586,15.6300001144,15.7430000305,star
19.1170005798,17.7329998016,17.2099990845,16.9750003815,16.906999588,star
19.6520004272,18.6079998016,18.5559997559,18.607000351,18.593000412,star
18.1299991608,17.1089992523,16.7240009308,16.5849990845,16.5569992065,star
17.875,16.6089992523,16.1009998322,15.892999649,15.8229999542,star
17.6660003662,16.5750007629,16.3959999084,16.3829994202,16.3869991302,star
20.1959991455,18.9139995575,18.3470001221,18.0729999542,17.982000351,star
18.5149993896,17.3700008392,16.843000412,16.6189994812,16.5039997101,star
15.7290000916,14.6400003433,14.2309999466,14.123000145,14.1029996872,star
19.4489994049,18.3220005035,17.8819999695,17.6979999542,17.6399993896,star
18.9330005646,18.033000946,17.7010002136,17.5979995728,17.579000473,star
18.4740009308,17.7350006104,17.3530006409,17.2630004883,17.1630001068,star
18.1280002594,16.9960002899,16.5440006256,16.3950004578,16.3710002899,star
16.4379997253,15.1059999466,14.6379995346,14.4910001755,14.468000412,star
19.2460002899,18.3959999084,18.1879997253,18.1450004578,18.1599998474,star
17.9470005035,16.6350002289,15.9899997711,15.7690000534,15.6490001678,star
19.75,17.3220005035,16.1289997101,15.6040000916,15.25,star
19.8050003052,18.232000351,17.5809993744,17.3439998627,17.1919994354,star
21.1599998474,18.9290008545,17.9930000305,17.611000061,17.3670005798,star
19.2019996643,18.0750007629,17.5289993286,17.3330001831,17.2019996643,star
17.6849994659,16.5760002136,16.1830005646,16.0709991455,16.0340003967,star
18.3180007935,17.3579998016,16.8969993591,16.6900005341,16.5429992676,star
17.5149993896,16.6289997101,16.1790008545,16.0289993286,15.9600000381,star
18.7539997101,17.7409992218,17.2609996796,17.0839996338,17.0170001984,star
19.6989994049,18.4270000458,17.9130001068,17.6630001068,17.5979995728,star
18.688999176,17.6019992828,17.1749992371,17.0300006866,16.9610004425,star
17.9909992218,16.607000351,16.0960006714,15.920999527,15.8210000992,star
19.9990005493,18.658000946,18.125,17.8899993896,17.7740001678,star
17.8449993134,16.7689990997,16.2390003204,16.0230007172,15.8970003128,star
18.5230007172,17.6509990692,17.2290000916,17.1019992828,17.0300006866,star
19.8589992523,18.638999939,18.017999649,17.8349990845,17.686000824,star
17.4890003204,16.0279998779,15.4589996338,15.2589998245,15.2049999237,star
20.7369995117,18.6060009003,17.561000824,17.186000824,16.8990001678,star
19.7600002289,17.8899993896,17.0620002747,16.7539997101,16.5650005341,star
19.591999054,17.9720001221,17.2019996643,16.8810005188,16.7919998169,star
18.1949996948,16.8180007935,16.3020000458,16.0529994965,15.9359998703,star
18.3549995422,17.3759994507,16.9850006104,16.8530006409,16.811000824,star
19.0189990997,17.0680007935,16.3309993744,16.0550003052,15.8879995346,star
17.3850002289,15.8620004654,15.2239999771,15.0209999084,14.9200000763,star
19.6399993896,17.966999054,17.2369995117,16.9400005341,16.8360004425,star
19.7810001373,18.5970001221,18.138999939,17.9729995728,17.922000885,star
21.263999939,19.6830005646,18.9109992981,18.5440006256,18.3490009308,star
20.8250007629,20.0289993286,19.5149993896,19.313999176,19.2590007782,star
18.468000412,17.2240009308,16.7350006104,16.5569992065,16.4479999542,star
18.1140003204,16.2479991913,15.5279998779,15.2860002518,15.1770000458,star
18.9260005951,17.6459999084,17.531999588,17.5060005188,17.5450000763,star
19.8360004425,18.829000473,18.5550003052,18.4340000153,18.4139995575,star
16.4769992828,15.295999527,14.9119997025,14.7460002899,14.6909999847,star
19.8269996643,17.952999115,17.2350006104,16.9500007629,16.7980003357,star
19.7980003357,18.2609996796,17.6840000153,17.4519996643,17.3840007782,star
19.8589992523,17.827999115,17.0259990692,16.7569999695,16.6200008392,star
17.9039993286,16.9559993744,16.5799999237,16.4270000458,16.3899993896,star
16.5809993744,15.4099998474,15.1689996719,15.0920000076,15.0850000381,star
19.0200004578,17.5240001678,16.9419994354,16.7460002899,16.6760005951,star
20.4810009003,19.2089996338,18.593000412,18.3829994202,18.2649993896,star
20.1499996185,19.1609992981,18.8689994812,18.7509994507,18.8659992218,star
20.8349990845,19.4029998779,18.7099990845,18.4370002747,18.3740005493,star
17.75,16.7019996643,16.3379993439,16.2259998322,16.1800003052,star
20.4880008698,19.1930007935,18.6660003662,18.4740009308,18.3880004883,star
18.3490009308,17.5119991302,17.0200004578,16.8150005341,16.7479991913,star
20.8409996033,19.0510005951,18.2490005493,17.9610004425,17.7840003967,star
18.3789997101,16.9500007629,16.357000351,16.1229991913,16.0090007782,star
18.2430000305,17.343000412,16.9930000305,16.8700008392,16.8159999847,star
16.281999588,15.2910003662,14.9910001755,14.9359998703,14.9370002747,star
20.6159992218,19.5189990997,18.8829994202,18.6210002899,18.4430007935,star
19.3379993439,17.7290000916,16.5170001984,16.047000885,15.7349996567,star
20.9270000458,19.533000946,18.8260002136,18.5200004578,18.3509998322,star
20.6959991455,18.795999527,17.7609996796,17.361000061,17.111000061,star
19.8379993439,18.2439994812,17.4729995728,17.1630001068,16.9589996338,star
17.7310009003,16.4990005493,16.0900001526,16.0949993134,15.9499998093,star
17.9659996033,17.4559993744,16.6399993896,16.5359992981,16.5009994507,star
16.4950008392,15.2030000687,14.7309999466,14.5469999313,14.5389995575,star
18.0900001526,16.611000061,16.0020008087,15.7840003967,15.6750001907,star
17.5270004272,16.0049991608,15.3280000687,15.0989999771,14.9630002975,star
18.6919994354,17.1870002747,16.5990009308,16.4109992981,16.3059997559,star
19.4190006256,18.3209991455,17.7849998474,17.5659999847,17.4880008698,star
18.0020008087,17.0419998169,16.7159996033,16.5970001221,16.5599994659,star
