u,g,r,i,z,target
19.8789997101,18.0720005035,17.3869991302,17.1219997406,17.0419998169,star
16.2450008392,15.1479997635,14.9239997864,14.8579998016,14.8579998016,star
17.2800006866,16.3330001831,16.0659999847,15.9390001297,15.8920001984,star
17.4190006256,15.7469997406,15.0220003128,14.7670001984,14.6330003738,star
18.7089996338,17.2420005798,16.7089996338,16.6369991302,16.5830001831,star
19.8899993896,17.5760002136,16.4720001221,15.9940004349,15.6920003891,star
18.8190002441,17.2619991302,16.6009998322,16.3330001831,16.1959991455,star
21.2579994202,19.8439998627,19.2579994202,19.0060005188,18.8759994507,star
17.1979999542,15.7670001984,15.1999998093,14.9890003204,14.876999855,star
18.6819992065,17.5419998169,17.3330001831,17.3269996643,17.3460006714,star
18.6439990997,17.4580001831,17.2800006866,17.2450008392,17.2290000916,star
18.4880008698,16.702999115,15.9320001602,15.6579999924,15.5050001144,star
18.482000351,16.954000473,16.3859996796,16.1819992065,16.0769996643,star
18.406999588,16.2490005493,15.3669996262,14.9460000992,14.7089996338,star
19.3020000458,17.5389995575,16.8460006714,16.5,16.3500003815,star
20.5799999237,19.5419998169,18.9599990845,18.7210006714,18.5809993744,star
17.7290000916,16.2439994812,15.4969997406,15.1960000992,15.0190000534,star
16.8379993439,15.875,15.5480003357,15.4099998474,15.3940000534,star
18.077999115,16.5729999542,16.0100002289,15.845000267,15.8039999008,star
17.531999588,16.0729999542,15.3439998627,14.9770002365,14.8030004501,star
18.4489994049,16.1219997406,15.1969995499,14.843000412,14.7250003815,star
20.0900001526,19.1539993286,18.7240009308,18.5699996948,18.4169998169,star
21.4990005493,19.5620002747,18.6790008545,18.3379993439,18.1229991913,star
18.0209999084,16.9729995728,16.607000351,16.4629993439,16.4169998169,star
23.452999115,20.3320007324,19.3600006104,18.8659992218,18.6340007782,star
20.297000885,18.8229999542,18.0699996948,17.6800003052,17.4710006714,star
18.6459999084,17.1490001678,16.4750003815,16.1620006561,16.013999939,star
18.5659999847,17.1439990997,16.5370006561,16.2689990997,16.1319999695,star
20.8299999237,19.4960002899,18.9370002747,18.6499996185,18.4169998169,star
17.9990005493,16.6280002594,16.0240001678,15.8070001602,15.6879997253,star
20.7740001678,19.4729995728,18.8980007172,18.6119995117,18.4880008698,star
18.6539993286,17.5300006866,17.1240005493,16.9689998627,16.9319992065,star
18.8169994354,16.954000473,16.0960006714,15.763999939,15.5659999847,star
16.9890003204,15.6239995956,15.0270004272,14.7629995346,14.7259998322,star
19.1959991455,18.1439990997,18,17.9419994354,17.9909992218,star
17.0370006561,16.0400009155,15.718000412,15.5530004501,15.5229997635,star
21.3330001831,19.9640007019,19.4249992371,19.2539997101,19.031999588,star
18.5709991455,16.4169998169,15.6079998016,15.2690000534,15.1280002594,star
15.6689996719,14.361000061,14.2700004578,14.2840003967,14.3269996643,star
19.6140003204,17.593000412,16.6870002747,16.2889995575,16.0300006866,star
19.9349994659,18.5559997559,17.9899997711,17.7390003204,17.6089992523,star
17.8069992065,16.7479991913,16.3409996033,16.2129993439,16.1879997253,star
17.5410003662,15.7629995346,15.0129995346,14.6400003433,14.6009998322,star
19.4449996948,17.8810005188,17.216999054,16.9990005493,16.8150005341,star
20.2450008392,19.2059993744,19.0760002136,19.0869998932,19.1089992523,star
20.1469993591,18.4459991455,17.638999939,17.3069992065,17.1259994507,star
19.125,17.7010002136,17.1660003662,16.9610004425,16.8320007324,star
19.6380004883,18.5079994202,18.0869998932,17.9330005646,17.8159999847,star
20.2980003357,19.0559997559,18.9239997864,18.8789997101,18.8719997406,star
19.5949993134,18.0160007477,17.170999527,16.9279994965,16.7859992981,star
17.4489994049,16.420999527,16.0629997253,15.9490003586,15.9379997253,star
21.0109996796,18.6560001373,17.563999176,17.1819992065,16.9810009003,star
20.5419998169,18.7789993286,18.1140003204,17.8589992523,17.7010002136,star
19.7390003204,18.6639995575,18.4969997406,18.4729995728,18.5060005188,star
19.7859992981,17.7539997101,16.9909992218,16.7210006714,16.547000885,star
18.2800006866,17.0499992371,16.8840007782,16.8819999695,16.8330001831,star
20.0659999847,19.1210002899,18.579000473,18.3409996033,18.3150005341,star
17.7460002899,16.5599994659,16.1089992523,15.9230003357,15.892999649,star
19.4939994812,18.1410007477,17.6329994202,17.3999996185,17.3050003052,star
20.4599990845,19.0750007629,18.3349990845,18.1420001984,17.9309997559,star
19.216999054,18.0279998779,17.517999649,17.2520008087,17.1539993286,star
19.8920001984,18.4050006866,17.8700008392,17.6870002747,17.6259994507,star
20.9120006561,19.8490009308,19.2980003357,19.0529994965,19.0380001068,star
18.658000946,17.6550006866,17.2070007324,17.0259990692,17.0079994202,star
17.0559997559,16.1620006561,15.8400001526,15.6730003357,15.6180000305,star
17.8369998932,16.2619991302,15.5559997559,15.2899999619,15.1610002518,star
19.9120006561,18.8560009003,18.5709991455,18.4880008698,18.4599990845,star
19.7900009155,18.343000412,17.7889995575,17.5739994049,17.4169998169,star
17.7929992676,16.5450000763,15.9969997406,15.75,15.640999794,star
19.3740005493,18.3969993591,18.0370006561,17.8649997711,17.875,star
18.0429992676,17.1509990692,16.781999588,16.7140007019,16.6550006866,star
21.5599994659,19.8619995117,19.1170005798,18.7779998779,18.6180000305,star
17.9130001068,16.5069999695,15.984000206,15.7930002213,15.704000473,star
19.0440006256,17.6550006866,17.1270008087,16.908000946,16.8050003052,star
20.2579994202,18.625,17.9230003357,17.6730003357,17.5230007172,star
19.9060001373,18.6270008087,18.0090007782,17.7800006866,17.6490001678,star
19.3999996185,18.3010005951,17.8400001526,17.6700000763,17.6299991608,star
20.4710006714,19.5149993896,19.2159996033,19.0659999847,19.1040000916,star
16.5540008545,15.5059995651,15.1909999847,15.0900001526,15.0939998627,star
20.2420005798,20.2059993744,19.9409999847,19.4850006104,19.1779994965,QSO
17.2740001678,17.3719997406,17.2849998474,16.9290008545,17.1089992523,QSO
23.6590003967,21.3490009308,19.8349990845,19.4190006256,19.3080005646,QSO
19.9459991455,20.077999115,20.0960006714,19.7280006409,19.5860004425,QSO
19.0060005188,19.0879993439,18.9510002136,18.5949993134,18.4309997559,QSO
19.2520008087,18.8169994354,18.5230007172,18.4920005798,18.0090007782,QSO
18.4689998627,18.3780002594,18.170999527,18.0650005341,18.0809993744,QSO
19.6620006561,19.6989994049,19.0939998627,19.0739994049,18.9869995117,QSO
21.142999649,20.5580005646,20.3540000916,20.061000824,19.8020000458,QSO
20.142999649,20.2420005798,19.9239997864,19.9139995575,19.920999527,QSO
19.3169994354,19.1030006409,18.8190002441,18.8069992065,18.6299991608,QSO
21.0860004425,20.3799991608,20.3910007477,20.3990001678,20.2560005188,QSO
19.1420001984,18.6009998322,18.2849998474,18.0359992981,18.0189990997,QSO
20.5559997559,20.1509990692,20.0760002136,19.8880004883,19.9839992523,QSO
20.8159999847,20.4029998779,20.2450008392,19.8589992523,19.8999996185,QSO
21.388999939,19.7019996643,19.4799995422,19.2600002289,19.1800003052,QSO
25.3490009308,20.7530002594,19.4610004425,19.0949993134,18.9640007019,QSO
20.0909996033,19.5650005341,19.0049991608,18.9470005035,18.8700008392,QSO
18.8199996948,18.6299991608,18.6459999084,18.4710006714,18.4319992065,QSO
19.2469997406,19.138999939,18.9130001068,18.7560005188,18.7800006866,QSO
18.4799995422,18.3050003052,18.0620002747,18.0090007782,17.9249992371,QSO
18.5450000763,18.1730003357,17.8209991455,17.4349994659,17.2310009003,QSO
20.8470001221,20.2719993591,20.329000473,20.1739997864,19.9710006714,QSO
20.0699996948,19.8409996033,19.704000473,19.7950000763,19.7070007324,QSO
21.4640007019,21.1420001984,20.8020000458,20.716999054,20.4230003357,QSO
25.1040000916,22.952999115,20.4990005493,20.0049991608,19.6930007935,QSO
18.3649997711,18.2590007782,18.0400009155,18.0149993896,18.0510005951,QSO
19.111000061,18.9519996643,18.8540000916,18.5900001526,18.3959999084,QSO
18.5279998779,17.7399997711,17.7129993439,17.6079998016,17.2950000763,QSO
18.7110004425,18.4230003357,18.170999527,17.8969993591,17.9799995422,QSO
19.7420005798,19.5310001373,19.2019996643,19.1270008087,19.0380001068,QSO
25.1439990997,20.6009998322,19.7290000916,19.4580001831,19.3239994049,QSO
19.1149997711,19.045999527,18.9470005035,19.0890007019,19.0709991455,QSO
19.4449996948,19.2689990997,18.9060001373,18.7409992218,18.6819992065,QSO
20.0550003052,19.4570007324,18.6979999542,18.4659996033,18.3670005798,QSO
18.1979999542,18.4130001068,18.4179992676,17.9839992523,17.9909992218,QSO
19.2380008698,19.1340007782,18.9489994049,18.9960002899,18.938999176,QSO
18.2310009003,18.0799999237,18.0060005188,17.8700008392,17.9710006714,QSO
19.2450008392,18.9270000458,18.9909992218,18.9899997711,18.6040000916,QSO
18.6679992676,18.4950008392,18.4139995575,18.4449996948,18.3640003204,QSO
21.1669998169,20.6770000458,20.2730007172,20.0160007477,19.6410007477,QSO
18.6900005341,18.6040000916,18.6009998322,18.5410003662,18.5249996185,QSO
19.1350002289,18.8129997253,18.466999054,18.4150009155,18.3799991608,QSO
23.5939998627,20.8050003052,20.125,20.0189990997,19.9829998016,QSO
24.4920005798,22.6930007935,20.6410007477,19.533000946,19.3740005493,QSO
20.563999176,20.4120006561,20.1189994812,20.3269996643,20.2980003357,QSO
19.1340007782,19.1380004883,19.1690006256,18.9330005646,18.8980007172,QSO
19.7220001221,19.6529998779,19.2479991913,19.1060009003,19.093000412,QSO
20.2569999695,20.0550003052,19.9279994965,19.736000061,19.8449993134,QSO
19.7849998474,19.1650009155,19.0909996033,18.9150009155,18.5349998474,QSO
19.5970001221,19.4430007935,19.0949993134,18.986000061,19.0960006714,QSO
19.1219997406,18.9200000763,18.8729991913,18.7670001984,18.642999649,QSO
19.3209991455,19.1340007782,19.0279998779,18.795999527,18.8939990997,QSO
18.8320007324,18.6630001068,18.3829994202,18.4610004425,18.5400009155,QSO
19.4009990692,18.9400005341,18.6900005341,18.6550006866,18.4470005035,QSO
20.3150005341,20.0209999084,19.9510002136,19.7150001526,19.7870006561,QSO
19.8850002289,19.7849998474,19.6989994049,19.625,19.7770004272,QSO
19.6380004883,19.5769996643,19.2259998322,19.1700000763,19.1690006256,QSO
19.9300003052,19.732000351,19.7199993134,19.5030002594,19.6359996796,QSO
18.9880008698,18.7369995117,18.2730007172,18.0809993744,17.9629993439,QSO
18.1679992676,18.2579994202,18.295999527,18.0380001068,17.8239994049,QSO
18.3630008698,18.2240009308,18.1259994507,17.9519996643,17.9750003815,QSO
23.1369991302,19.2399997711,18.625,18.3740005493,18.2409992218,QSO
22.5629997253,20.1030006409,19.6140003204,19.5650005341,19.3479995728,QSO
19.2660007477,19.1620006561,18.9029998779,18.8439998627,18.9279994965,QSO
19.5209999084,19.0499992371,19.1079998016,18.9990005493,18.9279994965,QSO
19.9829998016,19.4710006714,19.3299999237,19.2299995422,19.1340007782,QSO
20.9020004272,20.9850006104,20.4349994659,20.0590000153,19.9279994965,QSO
18.686000824,18.4370002747,18.5389995575,18.4780006409,18.3999996185,QSO
20.5340003967,20.5079994202,20.3509998322,20.4890003204,20.9139995575,QSO
18.1060009003,17.9850006104,17.9890003204,17.8470001221,17.811000824,QSO
19.1140003204,18.8950004578,18.781999588,18.8959999084,18.8670005798,QSO
24.2110004425,25.1650009155,21.1350002289,19.922000885,19.6819992065,QSO
18.3509998322,18.2129993439,18.0720005035,18.2099990845,17.6660003662,QSO
19.4169998169,19.0799999237,18.6060009003,18.2730007172,18.0499992371,QSO
18.5020008087,18.281999588,18.3099994659,18.1879997253,18.2999992371,QSO
20.0690002441,19.5429992676,19.1630001068,19.0590000153,18.9039993286,QSO
20.4880008698,20.4799995422,20.3090000153,20.111000061,19.9930000305,QSO
19.2889995575,18.9619998932,18.8689994812,18.9279994965,18.7019996643,QSO
20.3309993744,20.4009990692,20.0820007324,20.0119991302,19.8680000305,QSO
18.591999054,18.3649997711,18.2119998932,18.0450000763,18.1079998016,QSO
19.547000885,19.0590000153,19.0480003357,19.1019992828,18.8939990997,QSO
20.7329998016,20.4960002899,20.3180007935,19.9740009308,19.7369995117,QSO
19.5389995575,18.6420001984,18.4869995117,18.3190002441,17.9930000305,QSO
19.5240001678,18.3819999695,18.2339992523,18.2910003662,18.0820007324,QSO
19.0720005035,18.7940006256,18.6210002899,18.3500003815,18.2840003967,QSO
22.7290000916,20.3479995728,19.9810009003,19.9379997253,19.8640003204,QSO
18.1690006256,17.8729991913,17.6259994507,17.6079998016,17.5709991455,QSO
19.3209991455,19.2649993896,19.0130004883,19.0100002289,19.1749992371,QSO
19.1310005188,18.9430007935,18.8600006104,18.688999176,18.704000473,QSO
19.5540008545,19.0580005646,19.0219993591,19.0729999542,18.8719997406,QSO
19.2530002594,19.2339992523,18.9829998016,18.9449996948,18.3819999695,QSO
19.2019996643,18.9279994965,18.8330001831,18.672000885,18.7859992981,QSO
19.4769992828,19.0709991455,18.9640007019,18.9920005798,19.0209999084,QSO
19.5370006561,19.5020008087,19.4780006409,19.1149997711,19.0259990692,QSO
19.4610004425,19.422000885,19.1550006866,19.0499992371,19.313999176,QSO
18.5529994965,18.1739997864,18.2220001221,18.1700000763,18.1380004883,QSO
18.5520000458,18.5090007782,18.295999527,18.2089996338,18.3209991455,QSO
19.4559993744,19.4500007629,19.0680007935,19.0830001831,19.2259998322,QSO
20.6739997864,20.4869995117,20.5970001221,20.2779998779,20.313999176,QSO
19.3789997101,19.0200004578,18.857000351,18.5659999847,18.5170001984,QSO
20.4939994812,20.4699993134,20.3220005035,20.1700000763,20.1760005951,QSO
19.9890003204,19.6620006561,19.2269992828,19.4060001373,19.5370006561,QSO
22.0879993439,20.0370006561,19.7840003967,19.7199993134,19.8220005035,QSO
19.6760005951,19.0499992371,18.9759998322,18.9720001221,18.8560009003,QSO
19.3680000305,19.0510005951,19.0380001068,18.8390007019,18.8090000153,QSO
19.2490005493,19.1940002441,19.2159996033,19.0839996338,19.0030002594,QSO
19.0480003357,18.8950004578,18.686000824,18.8509998322,18.9619998932,QSO
19.1200008392,19.1620006561,19.2600002289,18.8840007782,18.8589992523,QSO
19.4379997253,19.3910007477,19.2059993744,19.0760002136,18.9020004272,QSO
19.4169998169,19.2269992828,19.0359992981,19.0569992065,18.9869995117,QSO
20.4139995575,20.1410007477,20.1240005493,20.1200008392,19.9489994049,QSO
19.6350002289,19.2539997101,19.3180007935,19.0020008087,18.8150005341,QSO
25.357000351,21.9899997711,20.2910003662,19.8810005188,19.5650005341,QSO
19.0720005035,18.8339996338,18.8470001221,18.656999588,18.6539993286,QSO
18.736000061,18.5559997559,18.4769992828,18.1630001068,18.1529998779,QSO
18.4459991455,18.3150005341,18.3099994659,18.2460002899,18.0620002747,QSO
19.3630008698,19.0569992065,19.0289993286,18.8400001526,18.8759994507,QSO
20.1870002747,20.0949993134,19.7070007324,19.7759990692,19.8309993744,QSO
23.1730003357,20.8460006714,19.2310009003,19.0170001984,18.9559993744,QSO
19.2709999084,18.8159999847,18.8560009003,18.8519992828,18.7000007629,QSO
19.5419998169,19.2579994202,19.0300006866,18.7479991913,18.827999115,QSO
25.4640007019,20.4090003967,19.3680000305,19.3899993896,19.4559993744,QSO
19.4190006256,18.986000061,18.9850006104,18.9930000305,18.75,QSO
18.6289997101,18.3619995117,18.1809997559,18.1240005493,18.031999588,QSO
22.486000061,20.2849998474,20.0659999847,20.1280002594,19.9559993744,QSO
18.531999588,18.406999588,18.2119998932,18.2560005188,18.3229999542,QSO
20.2810001373,19.8549995422,19.8990001678,19.8880004883,19.7560005188,QSO
19.4939994812,19.1410007477,18.7880001068,18.7779998779,18.7950000763,QSO
18.6660003662,18.6299991608,18.3010005951,18.2430000305,18.2619991302,QSO
20.7919998169,20.2600002289,20.2399997711,20.204000473,19.9599990845,QSO
18.829000473,18.6089992523,18.3579998016,18.486000061,18.5100002289,QSO
18.7460002899,18.5900001526,18.5069999695,18.216999054,18.2080001831,QSO
20.1650009155,19.7460002899,19.5030002594,19.2919998169,19.1319999695,QSO
19.9909992218,19.6280002594,19.2339992523,19.061000824,19.0030002594,QSO
19.7210006714,19.3120002747,19.1399993896,18.9589996338,18.9249992371,QSO
19.7619991302,19.438999176,19.0809993744,18.9899997711,18.9769992828,QSO
20.232000351,19.7490005493,19.670999527,19.438999176,19.4039993286,QSO
21.9869995117,19.6119995117,19.2910003662,19.1650009155,19.2430000305,QSO
20.2490005493,19.9829998016,19.9850006104,19.8069992065,19.8770008087,QSO
23.1690006256,18.6079998016,18.1340007782,18.0839996338,18.0009994507,QSO
18.9200000763,18.9610004425,18.8980007172,18.6210002899,18.4409999847,QSO
19.9060001373,19.3400001526,19.2199993134,19.079000473,18.8330001831,QSO
18.295999527,18.1410007477,17.9510002136,17.9559993744,17.8490009308,QSO
24.8490009308,20.6219997406,19.6369991302,19.6469993591,19.5130004883,QSO
19.436000824,19.2420005798,19.1289997101,18.9930000305,18.688999176,QSO
19.031999588,18.8490009308,18.6040000916,18.7010002136,18.7460002899,QSO
19.0450000763,18.8999996185,18.6289997101,18.4580001831,17.9300003052,QSO
19.329000473,18.9659996033,18.8759994507,18.8209991455,18.6539993286,QSO
21.8010005951,19.8950004578,19.6490001678,19.4960002899,19.3819999695,QSO
19.9990005493,19.4570007324,19.0310001373,18.966999054,18.9340000153,QSO
19.2520008087,19.1210002899,18.9370002747,19.0970001221,19.2670001984,QSO
19.2520008087,18.658000946,18.6040000916,18.5480003357,18.4340000153,QSO
18.0009994507,17.5109996796,17.3579998016,17.2719993591,17.091999054,QSO
19.0650005341,18.7000007629,18.5200004578,18.4160003662,18.3010005951,QSO
19.2940006256,18.7220001221,18.1970005035,17.9850006104,17.875,QSO
19.6060009003,19.5839996338,19.232000351,19.3369998932,19.3500003815,QSO
21.7430000305,20.5240001678,19.7290000916,19.1599998474,18.952999115,QSO
18.6490001678,18.5809993744,18.5720005035,18.3619995117,18.3069992065,QSO
19.7560005188,19.5160007477,19.2999992371,19.138999939,18.9260005951,QSO
19.1329994202,19.0499992371,18.841999054,18.7800006866,18.7889995575,QSO
18.982000351,18.9549999237,18.9549999237,18.7329998016,18.5489997864,QSO
18.7520008087,18.5230007172,18.4969997406,18.2900009155,18.343000412,QSO
18.8029994965,18.611000061,18.3260002136,18.3129997253,18.3640003204,QSO
19.9710006714,19.763999939,19.4479999542,19.4379997253,19.4400005341,QSO
24.4290008545,21.6660003662,20.5310001373,20.1609992981,20.2439994812,QSO
18.7859992981,18.6940002441,18.7150001526,18.5699996948,18.5869998932,QSO
19.0480003357,18.8630008698,18.8530006409,19.0219993591,18.9430007935,QSO
18.2700004578,18.1949996948,17.9689998627,17.9799995422,18.1529998779,QSO
19.2609996796,18.8339996338,18.5890007019,18.3209991455,18.3710002899,QSO
20.1560001373,19.7889995575,19.3059997559,19.283000946,19.1620006561,QSO
20.1259994507,19.6189994812,19.4130001068,19.1000003815,19.1949996948,QSO
19.8099994659,19.5160007477,19.3540000916,19.1550006866,19.0869998932,QSO
20.5419998169,20.2140007019,20.4160003662,20.1669998169,20.2619991302,QSO
17.0030002594,16.9869995117,16.8950004578,16.7399997711,16.6480007172,QSO
17.2840003967,17.1949996948,16.966999054,16.5690002441,16.4349994659,QSO
20.936000824,20.2290000916,19.6989994049,19.1490001678,19.0209999084,QSO
20.297000885,20.0380001068,19.9850006104,19.9109992981,19.8010005951,QSO
18.2600002289,18.1159992218,17.8589992523,17.8600006104,17.9430007935,QSO
19.3460006714,19.0949993134,18.8530006409,18.8689994812,18.7539997101,QSO
19.6930007935,19.3780002594,19.1499996185,18.9899997711,18.9479999542,QSO
19.2369995117,19.0499992371,18.8999996185,19.0270004272,18.9370002747,QSO
19.5279998779,19.3190002441,19.2159996033,18.952999115,18.9169998169,QSO
19.9890003204,19.9370002747,19.8500003815,19.702999115,19.6620006561,QSO
23.8799991608,20.6019992828,19.7709999084,19.4850006104,19.4379997253,QSO
20.7140007019,20.3409996033,19.6770000458,19.4300003052,19.2430000305,QSO
20.3330001831,20.0669994354,19.7670001984,19.7070007324,19.8299999237,QSO
19.1439990997,18.9489994049,18.8129997253,18.7409992218,18.2549991608,QSO
19.0569992065,18.4190006256,18.5230007172,18.361000061,18.0769996643,QSO
19.4839992523,19.3999996185,19.2290000916,19.0400009155,18.783000946,QSO
19.3680000305,19.2759990692,19.1509990692,19.0690002441,19.045999527,QSO
17.4750003815,17.2989997864,17.466999054,17.3999996185,17.1870002747,QSO
19.7700004578,19.2789993286,18.8880004883,18.7469997406,18.7450008392,QSO
19.8190002441,19.7059993744,19.1620006561,19.0720005035,18.9409999847,QSO
19.3320007324,18.6790008545,18.7070007324,18.6299991608,18.4619998932,QSO
18.7199993134,18.4979991913,18.4029998779,18.2490005493,18.357000351,QSO
18.6399993896,18.0680007935,17.9050006866,17.9440002441,17.6900005341,QSO
20.5739994049,20.4249992371,20.3059997559,20.1650009155,20.0249996185,QSO
17.3710002899,17.4120006561,17.3400001526,17.4829998016,16.9969997406,QSO
20.7339992523,20.4050006866,20.327999115,20.1919994354,19.9200000763,QSO
20.4020004272,20.1669998169,19.8020000458,19.8819999695,19.783000946,QSO
19.1529998779,18.6930007935,18.6119995117,18.4440002441,18.436000824,QSO
19.5620002747,19.408000946,19.202999115,19.2509994507,19.2019996643,QSO
20.8129997253,20.5219993591,20.4589996338,20.1490001678,20.1380004883,QSO
19.8770008087,19.5009994507,19.1770000458,18.8400001526,18.6919994354,QSO
20.6480007172,19.9279994965,19.3710002899,18.966999054,18.9230003357,QSO
19.4239997864,19.1219997406,19.0949993134,18.952999115,18.9810009003,QSO
19.2469997406,19.047000885,18.6630001068,18.6270008087,18.670999527,QSO
26.4330005646,21.4290008545,20.2609996796,20.1079998016,20.0729999542,QSO
20.5359992981,20.2000007629,20.2929992676,19.9099998474,19.7259998322,QSO
20.6270008087,20.5830001831,20.2700004578,20.2290000916,20.1900005341,QSO
19.4309997559,19.2280006409,18.7940006256,18.7910003662,18.9230003357,QSO
